ABCB1
ABCB5
ABL1
ABL2
ABRAXAS1
ADORA2A
AIP
AKT1
AKT2
AKT3
ALK
APC
AR
ARAF
ARHGAP26
ARHGAP6
ARHGEF12
ARID1A
ASCL1
ASPSCR1
ATM
ATR
ATRX
AURKA
AURKC
AXL
B2M
BAP1
BARD1
BCL2
BCL3
BCL6
BCL9
BCOR
BLM
BMPR1A
BRAF
BRCA1
BRCA2
BRD2
BRD3
BRD4
BRIP1
BTK
BUB1B
CAMTA1
CARD11
CBL
CCND1
CCND2
CCND3
CCNE1
CCR2
CCR4
CCR5
CD19
CD27
CD274
CD276
CD40
CD5
CD70
CD79B
CD99
CDC73
CDH1
CDH17
CDK1
CDK12
CDK2
CDK4
CDK5
CDK6
CDK9
CDKN1A
CDKN1B
CDKN1C
CDKN2A
CDKN2B
CDKN2C
CDKN2D
CEBPA
CEP57
CHEK1
CHEK2
CIC
CLDN18
CLDN6
CREBBP
CREBRF
CRKL
CRTC1
CSF1R
CSF2RA
CSF3R
CTAG1B
CTLA4
CTNNB1
CXCL12
CXCR4
CYLD
CYP3A5
DAXX
DDB1
DDB2
DDIT3
DDR1
DDR2
DICER1
DIS3L2
DLEU1
DLL3
DNMT3A
DOT1L
DUX4
EGF
EGFL7
EGFR
EGLN1
EGLN2
EHBP1
EP300
EPAS1
EPCAM
EPHA3
EPHA5
EPHB2
ERBB2
ERBB3
ERBB4
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERG
ERRFI1
ESR1
ETS1
EWSR1
EXT1
EXT2
EZH2
FAM30A
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAS
FASLG
FBXW7
FGF1
FGF2
FGF3
FGF4
FGFR1
FGFR2
FGFR3
FGFR4
FH
FLCN
FLI1
FLT1
FLT3
FLT4
FOLH1
FOXL2
FOXO1
FOXP1
FUS
FYN
GAK
GAS6
GATA2
GLI1
GLI2
GLI3
GNA11
GNAQ
GNAS
GPC3
GPRC5A
GRM1
GSTM1
GSTT1
H3F3A
HAVCR2
HDAC2
HEY1
HGF
HLA-A
HORMAD1
HORMAD2
HPS1
HRAS
HSP90AA1
HSP90AB1
HSP90B1
ICOS
ID2
ID3
IDH1
IDH2
IDO1
IDO2
IGF1R
IKZF1
IL21R
IL6
IL6R
IL6ST
IL7R
IRF4
IRS2
JAK1
JAK2
JAK3
JAZF1
JUN
KDM5A
KDM5C
KDM6A
KDR
KIF1B
KIR2DL1
KIR2DL2
KIR2DL3
KIT
KITLG
KLB
KMT2A
KMT2B
KMT2C
KMT2D
KRAS
KSR2
LAG3
LATS1
LCK
LIG1
LMTK3
LPP
LZTR1
MAGEA3
MALAT1
MAML2
MAP2K1
MAP2K2
MAP3K1
MAP3K6
MAX
MCL1
MDH2
MDM2
MDM4
MED12
MEN1
MERTK
MET
MITF
MLH1
MLH3
MLLT1
MMS19
MN1
MPL
MRE11
MS4A1
MSH2
MSH6
MSLN
MST1R
MTOR
MUTYH
MYB
MYC
MYCL1
MYCN
MYCT1
MYD88
MYEOV
MYOD1
NAB2
NAMPT
NBN
NCOA2
NDRG1
NF1
NF2
NFATC1
NFIB
NFKBIA
NFKBIE
NOTCH1
NOTCH2
NR4A3
NRAS
NRG1
NRG2
NRG3
NRG4
NSD1
NT5E
NTRK1
NTRK2
NTRK3
NUDT1
NUTM1
OSM
OSMR
P3H1
PAK4
PALB2
PARP1
PARP2
PARP3
PAX3
PAX5
PAX7
PBRM1
PDCD1
PDCD1LG2
PDGFA
PDGFB
PDGFRA
PDGFRB
PELP1
PHF1
PHF6
PHLPP1
PHOX2B
PIK3C2G
PIK3CA
PIK3CD
PIK3R1
PIK3R2
PIK3R5
PIM1
PIM2
PLAG1
PLK1
PLK2
PLK3
PMEL
PMS1
PMS2
PNKP
POLD1
POLE
PPM1D
PRAME
PRF1
PRKACA
PRKAR1A
PTCH1
PTCH2
PTEN
PTGFR
PTPN1
PTPN11
PTPN12
PTPN2
PTPRF
PTPRJ
PTPRK
RAB35
RAD18
RAD50
RAD51
RAD51AP1
RAD51B
RAD51C
RAD51D
RAD54B
RAD54L
RAF1
RAP1B
RARA
RASA1
RASA2
RB1
RECQL
RECQL4
RET
RHBDF2
RHEB
RHOA
RICTOR
RINT1
RIT1
RNF2
RNF43
ROR1
ROS1
RPA1
RPTOR
RRAS2
RSPO2
RSPO3
RUNX1
SBDS
SDHA
SDHAF2
SDHB
SDHC
SDHD
SEM1
SETD2
SF3B1
SHH
SLC39A6
SLFN11
SLX4
SMAD4
SMARCA4
SMARCAL1
SMARCB1
SMARCE1
SMO
SOCS1
SOX10
SPTA1
SRC
SRSF2
SS18
SSRP1
SSTR1
SSTR2
SSTR3
SSTR4
SSTR5
SSX1
SSX2
STAT3
STAT5B
STAT6
STK11
STK36
SUFU
SUZ12
SYK
TACSTD2
TEAD1
TEK
TERT
TET1
TET2
TFE3
TGFB1
TMEM127
TMPRSS2
TMSB4X
TNFAIP3
TNFRSF18
TNFRSF4
TNFRSF9
TP53
TPTE
TRAP1
TRIM37
TSC1
TSC2
TSHR
TSSK3
TYR
UBE2N
USP11
USP6
VEGFA
VEGFB
VHL
VSIR
WIF1
WNK2
WRN
WT1
WWTR1
XAB2
XPA
XPC
XPO1
XRCC1
XRCC2
XRCC3
YAP1
YWHAE
ZNF217
